날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2017-05-17,114,17.6,10.9,25.5
2017-05-18,114,19.3,11.8,26.5
2017-05-19,114,20.7,12.9,28.9
2017-05-20,114,20.3,12.6,28.5
2017-05-21,114,20.9,14,27.8
2017-05-22,114,20.9,13.2,27.5
2017-05-23,114,20,14.7,24.7
2017-05-24,114,20,15.7,26.4
2017-05-25,114,19.2,13.4,25.7
2017-05-26,114,16.2,10.2,20.9
2017-05-27,114,18.5,11.5,24.8
2017-05-28,114,20.6,11.8,27.8
2017-05-29,114,23,16.1,29.7
2017-05-30,114,23.2,17.1,29.7
2017-05-31,114,22.1,15.7,28.4
2017-06-01,114,19.9,16.5,25
2017-06-02,114,19.1,12.3,25.2
2017-06-03,114,19.5,15.4,25.2
2017-06-04,114,19.7,11.8,26.8
2017-06-05,114,21.6,14.2,28.2
2017-06-06,114,18.1,13.9,22.6
2017-06-07,114,17.7,16.3,19.4
2017-06-08,114,19.5,15.1,25.2
2017-06-09,114,20.6,13.5,27.3
2017-06-10,114,20.1,16.1,25.1
2017-06-11,114,20.7,12.3,28
2017-06-12,114,20.5,13.7,26.8
2017-06-13,114,18.3,14.1,25.7
2017-06-14,114,19.8,13.8,26.4
2017-06-15,114,22,15.4,29.9
2017-06-16,114,24.3,16.3,30.9
2017-06-17,114,24.6,18.9,30.2
2017-06-18,114,24.8,17.4,32
2017-06-19,114,24.8,17.7,31.3
2017-06-20,114,25.1,19,31.6
2017-06-21,114,24.6,21.1,30.3
2017-06-22,114,24.6,19.1,30.7
2017-06-23,114,26.7,19.4,34
2017-06-24,114,23.6,19.5,28.8
2017-06-25,114,21.8,18.7,27.9
2017-06-26,114,22.7,19,29
2017-06-27,114,23,18.6,29.5
2017-06-28,114,25,19.7,30.5
2017-06-29,114,24.5,19.9,30.1
2017-06-30,114,25.3,20.3,30.5
2017-07-01,114,23.6,21.5,27.6
2017-07-02,114,24.9,22,29.9
2017-07-03,114,24.2,22.9,25.5
2017-07-04,114,25.9,21.7,31.5
2017-07-05,114,26.5,23.1,31.9
2017-07-06,114,26.8,20.9,33
2017-07-07,114,26.3,23.1,28.8
2017-07-08,114,25.4,23.6,27.5
2017-07-09,114,26.6,23,30.8
2017-07-10,114,24.4,22.9,26.7
2017-07-11,114,25.6,22.2,29.9
2017-07-12,114,26.9,23.3,31.2
2017-07-13,114,25.9,22,31.1
2017-07-14,114,25.4,22.2,32.9
2017-07-15,114,23.6,22.2,25.3
2017-07-16,114,24.2,21.4,26.9
2017-07-17,114,25.5,23.3,29.1
2017-07-18,114,25.2,22.8,28.9
2017-07-19,114,26.7,23.7,31.3
2017-07-20,114,27.9,23.6,32.8
2017-07-21,114,28.3,26.1,31.8
2017-07-22,114,27,25.3,29.8
2017-07-23,114,25.6,24.3,26.5
2017-07-24,114,26,25.1,27.4
2017-07-25,114,27.4,24.1,32.8
2017-07-26,114,26.4,21.5,31.2
2017-07-27,114,25.1,21.3,27.9
2017-07-28,114,23.8,22.7,25.2
2017-07-29,114,25.3,23.3,28.2
2017-07-30,114,26.1,22.6,30.4
2017-07-31,114,23.7,22.6,25.3
2017-08-01,114,26.1,22.3,30.7
2017-08-02,114,27.7,23.6,31.9
2017-08-03,114,27.5,23.1,31.7
2017-08-04,114,28.2,22.9,33.5
2017-08-05,114,29.4,24.2,34.8
2017-08-06,114,28.4,25.2,33.6
2017-08-07,114,27.2,24.2,32.4
2017-08-08,114,26,22.5,31.1
2017-08-09,114,24.5,22.7,26.5
2017-08-10,114,23.6,22.4,25.4
2017-08-11,114,24.9,21.7,30.1
2017-08-12,114,25,20.4,29.6
2017-08-13,114,24.1,20.8,27
2017-08-14,114,23.1,20.5,26.2
2017-08-15,114,22,21,24.5
2017-08-16,114,23.5,20.6,27.1
2017-08-17,114,23.4,20,27.8
2017-08-18,114,23.6,21.3,28.5
2017-08-19,114,24.1,20.1,28.4
2017-08-20,114,23.7,21.2,26.8
2017-08-21,114,24.2,21.6,28
2017-08-22,114,25.9,22.7,30.5
2017-08-23,114,25.7,23.1,28.5
2017-08-24,114,26.1,23.4,29.4
2017-08-25,114,24.5,19.7,29.1
2017-08-26,114,21.2,15.6,28
2017-08-27,114,20.1,15.2,25
2017-08-28,114,21.1,17.7,25.2
2017-08-29,114,19.6,16.2,23.4
2017-08-30,114,17.3,15.2,20.4
2017-08-31,114,20,14.1,26.1
2017-09-01,114,20.5,13.6,27.1
2017-09-02,114,20.6,15.1,26.3
2017-09-03,114,21,14.8,27.8
2017-09-04,114,21.4,15.8,28.3
2017-09-05,114,19.1,16.2,21.8
2017-09-06,114,19.1,17.3,21.8
2017-09-07,114,20.6,17.4,24.6
2017-09-08,114,22,18.6,27.2
2017-09-09,114,21.4,16.2,27.6
2017-09-10,114,20.9,17.3,24.6
2017-09-11,114,19.7,17.9,22
2017-09-12,114,19.6,16,25.5
2017-09-13,114,18.7,12.5,25.5
2017-09-14,114,19.4,12.3,26.8
2017-09-15,114,20,14.9,25.6
2017-09-16,114,18.8,13.4,24.5
2017-09-17,114,19.8,15.1,26.4
2017-09-18,114,19.2,13.8,25.4
2017-09-19,114,19.5,15.3,24
2017-09-20,114,18,14,23.1
2017-09-21,114,17.1,10.6,24.3
2017-09-22,114,18.2,12.2,24.6
2017-09-23,114,18.6,13.6,24.2
2017-09-24,114,19.9,15.1,25
2017-09-25,114,21.8,18.1,27.8
2017-09-26,114,21.8,16.1,27.7
